Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.MatchScore,Latitude,Longitude
SPENCER,,SPENCER,TX,PARKER,,,Parker,1899,1899,TRUE,6,159638,FALSE,0,FALSE,,,,,,,,,,,,,
SPENCER,,SPENCER,TX,RED RIVER,,,Red River,1857,1866,TRUE,8,159639,FALSE,9,FALSE,,,,,,,,,,,,,
SPERRY,,SPERRY,TX,GRAYSON,,,Grayson,1903,1907,TRUE,6,159654,TRUE,4,TRUE,SPERRY,GRAYSON,TX,1377152,Populated Place,Sperry,Grayson,33.53066,-96.7086,260,1,33.53066,-96.7086
SPICEWOOD,,SPICEWOOD,TX,BURNET,,,Burnet,1899,,TRUE,0,159659,TRUE,,TRUE,SPICEWOOD,BURNET,TX,2732017,Post Office,Spicewood Post Office,Burnet,30.46287,-98.15888,264,1,30.46287,-98.15888
SPINDLE TOP,,SPINDLE TOP,TX,JEFFERSON,,,Jefferson,1905,1906,TRUE,6,159665,TRUE,1,TRUE,SPINDLETOP,JEFFERSON,TX,1384948,Populated Place,Spindletop,Jefferson,30.03132,-94.06073,8,0.9090909,30.03132,-94.06073
SPIVEY,,SPIVEY,TX,RUSK,,,Rusk,1879,1882,TRUE,7,159680,FALSE,3,FALSE,,,,,,,,,,,,,
SPIVEY,,SPIVEY,TX,SHELBY,,,Shelby,1890,1903,TRUE,5,159681,FALSE,13,FALSE,,,,,,,,,,,,,
SPLENDORA,,SPLENDORA,TX,MONTGOMERY,,,Montgomery,1896,,TRUE,0,159682,TRUE,,TRUE,SPLENDORA,MONTGOMERY,TX,2472502,Post Office,Splendora Post Office,Montgomery,30.23262,-95.15928,39,1,30.23262,-95.15928
SPOFFORD,,SPOFFORD,TX,KINNEY,,,Kinney,1884,1981,TRUE,1,159687,TRUE,97,TRUE,SPOFFORD,KINNEY,TX,1368916,Populated Place,Spofford,Kinney,29.17524,-100.4137,308,1,29.17524,-100.4137
SPORT,,SPORT,TX,ARANSAS,,,Aransas,1899,1904,TRUE,5,159697,FALSE,5,FALSE,,,,,,,,,,,,,
SPRABERRY,,SPRABERRY,TX,MIDLAND,,,Midland,1952,1953,TRUE,1,159705,TRUE,1,TRUE,SPRABERRY,MIDLAND,TX,1379099,Populated Place,Spraberry,Midland,31.92318,-101.8257,803,1,31.92318,-101.8257
SPRING,,SPRING,TX,HARRIS,,,Harris,1873,,TRUE,0,159718,TRUE,,TRUE,SPRING,HARRIS,TX,2732142,Post Office,Spring Post Office,Harris,30.07723,-95.43259,38,1,30.07723,-95.43259
SPRING BRANCH,,SPRING BRANCH,TX,COMAL,,,Comal,1858,,TRUE,0,159726,TRUE,,TRUE,SPRING BRANCH,COMAL,TX,1385455,Post Office,Spring Branch Post Office,Comal,29.90961,-98.41212,351,1,29.90961,-98.41212
SPRING CREEK,,SPRING CREEK,TX,COLLIN,,,Collin,1850,1851,TRUE,8,159737,FALSE,1,FALSE,,,,,,,,,,,,,
SPRING CREEK,,SPRING CREEK,TX,HARRIS,,,Harris,1839,1852,TRUE,8,159738,TRUE,13,TRUE,SPRING CREEK,HARRIS,TX,1378986,Populated Place,Spring Creek,Harris,30.07077,-95.70356,61,1,30.07077,-95.70356
SPRING CREEK,,SPRING CREEK,TX,THROCKMORTON,,,Throckmorton,1877,1942,TRUE,2,159739,TRUE,65,TRUE,SPRING CREEK,THROCKMORTON,TX,1380585,Populated Place,Spring Creek,Throckmorton,33.3701,-98.96146,366,1,33.3701,-98.96146
SPRING GARDEN,,SPRING GARDEN,TX,GILLESPIE,,,Gillespie,1879,1879,TRUE,9,159743,FALSE,0,FALSE,,,,,,,,,,,,,
SPRING HILL,,SPRING HILL,TX,HARRISON,,,Harrison,1838,,TRUE,0,159750,TRUE,,TRUE,SPRINGHILL,HARRISON,TX,1347759,Cemetery,Springhill Cemetery,Harrison,32.51987,-94.54076,107,0.9090909,32.51987,-94.54076
SPRING HILL,,SPRING HILL,TX,NAVARRO,,,Navarro,1849,1906,TRUE,3,159751,TRUE,57,TRUE,SPRING HILL,NAVARRO,TX,1379100,Populated Place,Spring Hill,Navarro,31.93627,-96.71027,134,1,31.93627,-96.71027
SPRING LAKE,,SPRING LAKE,TX,LAMB,,,Lamb,1889,,TRUE,0,159756,TRUE,,TRUE,SPRINGLAKE,LAMB,TX,2731739,Post Office,Springlake Post Office,Lamb,34.23151,-102.3071,1122,0.9090909,34.23151,-102.3071
SPRING VALLEY,,SPRING VALLEY,TX,MITCHELL,,,Mitchell,1884,1884,TRUE,9,159770,FALSE,0,FALSE,,,,,,,,,,,,,
SPRINGDALE,,SPRINGDALE,TX,CASS,,,Cass,1879,1938,TRUE,2,159785,TRUE,59,TRUE,SPRINGDALE,CASS,TX,1379103,Populated Place,Springdale,Cass,33.23318,-94.13324,77,1,33.23318,-94.13324
SPRINGER RANCH,,SPRINGER RANCH,TX,HEMPHILL,,,Hemphill,1879,1883,TRUE,6,159797,TRUE,4,TRUE,SPRINGERS RANCH,HEMPHILL,TX,2034893,Populated Place,Springers Ranch (historical),Hemphill,35.87893,-100.1885,681,0.9285714,35.87893,-100.1885
SPRINGFIELD,,SPRINGFIELD,TX,JIM WELLS,,,Jim Wells,1909,1918,TRUE,4,159808,TRUE,9,TRUE,SPRINGFIELD,JIM WELLS,TX,2034931,Populated Place,Springfield,Jim Wells,27.75197,-98.19445,85,1,27.75197,-98.19445
SPRINGFIELD,,SPRINGFIELD,TX,LIMESTONE,,,Limestone,1847,1878,TRUE,7,159809,TRUE,31,TRUE,SPRINGFIELD,LIMESTONE,TX,1380592,Populated Place,Springfield,Limestone,31.65961,-96.48276,146,1,31.65961,-96.48276
SPRINGTOWN,,SPRINGTOWN,TX,PARKER,,,Parker,1875,,TRUE,0,159825,TRUE,,TRUE,SPRINGTOWN,PARKER,TX,2732303,Post Office,Springtown Post Office,Parker,32.96127,-97.67958,262,1,32.96127,-97.67958
SPRINGVILLE,,SPRINGVILLE,TX,GRAYSON,,,Grayson,1857,1858,TRUE,8,159835,FALSE,1,FALSE,,,,,,,,,,,,,
SPRINGVILLE,,SPRINGVILLE,TX,RAINS,,,Rains,1859,1868,TRUE,7,159836,TRUE,9,TRUE,SPRINGVILLE,RAINS,TX,1373660,Populated Place,Springville,Rains,32.87457,-95.76552,146,1,32.87457,-95.76552
SPRINKLE,,SPRINKLE,TX,TRAVIS,,,Travis,1885,1940,TRUE,2,159844,TRUE,55,TRUE,SPRINKLE,TRAVIS,TX,1384042,Locale,Sprinkle,Travis,30.35382,-97.64667,189,1,30.35382,-97.64667
SPROWLS,,SPROWLS,TX,DALLAS,,,Dallas,1879,1885,TRUE,7,159846,FALSE,6,FALSE,,,,,,,,,,,,,
SPUR,,SPUR,TX,DICKENS,,,Dickens,1909,,TRUE,0,159858,TRUE,,TRUE,SPUR,DICKENS,TX,2731897,Post Office,Spur Post Office,Dickens,33.4767,-100.8573,694,1,33.4767,-100.8573
SPURGER,,SPURGER,TX,TYLER,,,Tyler,1881,,TRUE,0,159862,TRUE,,TRUE,SPURGER,TYLER,TX,2731650,Post Office,Spurger Post Office,Tyler,30.69265,-94.17725,50,1,30.69265,-94.17725
SPURLOCK,,SPURLOCK,TX,SHERMAN,,,Sherman,1905,1925,TRUE,3,159864,FALSE,20,FALSE,,,,,,,,,,,,,
SQUAW,,SQUAW,TX,JACK,,,Jack,1892,1910,TRUE,4,159871,FALSE,18,FALSE,,,,,,,,,,,,,
SQUAW CREEK,,SQUAW CREEK,TX,HOOD,,,Hood,1859,1867,TRUE,8,159872,FALSE,8,FALSE,,,,,,,,,,,,,
STACK,,STACK,TX,SHELBY,,,Shelby,1901,1902,TRUE,6,159892,FALSE,1,FALSE,,,,,,,,,,,,,
STACY,,STACY,TX,MCCULLOCH,,,Mcculloch,1897,1976,TRUE,1,159894,TRUE,79,TRUE,STACY,MCCULLOCH,TX,1380595,Populated Place,Stacy,McCulloch,31.4771,-99.59784,462,1,31.4771,-99.59784
STAFF,,STAFF,TX,EASTLAND,,,Eastland,1897,1908,TRUE,5,159898,TRUE,11,TRUE,STAFF,EASTLAND,TX,1380927,Populated Place,Staff,Eastland,32.3593,-98.70645,461,1,32.3593,-98.70645
STAFFORD,,STAFFORD,TX,FORT  BEND,,,Fort  Bend,1869,,TRUE,0,159903,FALSE,,FALSE,,,,,,,,,,,,,
STAFFORD'S POINT,STAFFORDS POINT,STAFFORD'S POINT,TX,FORT BEND,,,Fort Bend,1854,1869,TRUE,7,159906,FALSE,15,FALSE,,,,,,,,,,,,,
STAFFORD'S RANCH,STAFFORDS RANCH,STAFFORD'S RANCH,TX,COLORADO,,,Colorado,1888,1890,TRUE,7,159907,TRUE,2,TRUE,STAFFORD'S RANCH,COLORADO,TX,1329447,Populated Place,Stafford's Ranch,Colorado,29.57135,-96.45414,63,1,29.57135,-96.45414
STAFFORDSVILLE,,STAFFORDSVILLE,TX,FORT BEND,,,Fort Bend,1869,1869,TRUE,7,159908,FALSE,0,FALSE,,,,,,,,,,,,,
STAG MILLS,,STAG MILLS,TX,FRANKLIN,,,Franklin,1863,1866,TRUE,8,159909,FALSE,3,FALSE,,,,,,,,,,,,,
STAGNER,,STAGNER,TX,WOOD,,,Wood,1903,1907,TRUE,6,159912,TRUE,4,TRUE,STAGNER,WOOD,TX,1347788,Church,Stagner Church,Wood,32.68708,-95.25884,161,,32.68708,-95.25884
STALEY,,STALEY,TX,SAN JACINTO,,,San Jacinto,1913,1925,TRUE,3,159916,TRUE,12,TRUE,STALEY,SAN JACINTO,TX,1380596,Populated Place,Staley,San Jacinto,30.8338,-95.29216,80,1,30.8338,-95.29216
STAMFORD,,STAMFORD,TX,JONES,,,Jones,1899,,TRUE,0,159921,TRUE,,TRUE,STAMFORD,JONES,TX,2032512,Post Office,Stamford Post Office,Jones,32.94467,-99.80244,492,1,32.94467,-99.80244
STAMP,,STAMP,TX,FALLS,,,Falls,1895,1907,TRUE,5,159924,FALSE,12,FALSE,,,,,,,,,,,,,
STAMPEDE,,STAMPEDE,TX,BELL,,,Bell,1893,1901,TRUE,5,159926,TRUE,8,TRUE,STAMPEDE,BELL,TX,1380598,Populated Place,Stampede,Bell,31.28212,-97.4039,208,1,31.28212,-97.4039
STANDART,,STANDART,TX,KINNEY,,,Kinney,1890,1919,TRUE,4,159934,TRUE,29,TRUE,STANDART,KINNEY,TX,1380599,Populated Place,Standart,Kinney,29.34245,-100.6181,331,1,29.34245,-100.6181
STANFIELD,,STANFIELD,TX,CLAY,,,Clay,1903,1905,TRUE,6,159945,TRUE,2,TRUE,STANFIELD,CLAY,TX,1380928,Populated Place,Stanfield,Clay,33.96926,-97.99976,264,1,33.96926,-97.99976
STANLEY,,STANLEY,TX,RED RIVER,,,Red River,1902,1906,TRUE,6,159962,FALSE,4,FALSE,,,,,,,,,,,,,
STANLEY,,STANLEY,TX,TAYLOR,,,Taylor,1890,1891,TRUE,7,159963,FALSE,1,FALSE,,,,,,,,,,,,,
STANSELL,,STANSELL,TX,NAVARRO,,,Navarro,1901,1903,TRUE,6,159972,FALSE,2,FALSE,,,,,,,,,,,,,
STANTON,,STANTON,TX,MARTIN,,,Martin,1911,,TRUE,0,159976,TRUE,,TRUE,STANTON,MARTIN,TX,2731932,Post Office,Stanton Post Office,Martin,32.12974,-101.789,812,1,32.12974,-101.789
STAPLES,,STAPLES,TX,GUADALUPE,,,Guadalupe,1891,,TRUE,0,159987,TRUE,,TRUE,STAPLES,GUADALUPE,TX,2732352,Post Office,Staples Post Office,Guadalupe,29.77934,-97.83693,161,1,29.77934,-97.83693
STAPLES' STORE,STAPLES STORE,STAPLES' STORE,TX,GUADALUPE,,,Guadalupe,1879,1891,TRUE,3,159989,FALSE,12,FALSE,,,,,,,,,,,,,
STAR,,STAR,TX,LAVACA,,,Lavaca,1870,1871,TRUE,7,159999,FALSE,1,FALSE,,,,,,,,,,,,,
STAR,,STAR,TX,MILLS,,,Mills,1884,,TRUE,0,160000,TRUE,,TRUE,STAR,MILLS,TX,2731369,Post Office,Star Post Office,Mills,31.4688,-98.3163,427,1,31.4688,-98.3163
STAR,,STAR,TX,WALKER,,,Walker,1851,1852,TRUE,8,160001,FALSE,1,FALSE,,,,,,,,,,,,,
STARK GROVE,,STARK GROVE,TX,MCLENNAN,,,McLennan,1858,1866,TRUE,8,160021,TRUE,8,TRUE,STARKE GROVE,MCLENNAN,TX,1364867,Populated Place,Starke Grove,McLennan,31.68433,-97.24806,138,0.9090909,31.68433,-97.24806
STARKSVILLE,STARKESVILLE,STARK(E)SVILLE,TX,LAMAR,,,Lamar,1860,1876,TRUE,7,160022,FALSE,16,FALSE,,,,,,,,,,,,,
STARKES,,STARKES,TX,LLANO,,,Llano,1905,1915,TRUE,4,160023,TRUE,10,TRUE,STARKS,LLANO,TX,1380391,Populated Place,Starks,Llano,30.56074,-98.87949,480,0.8571429,30.56074,-98.87949
STARKEY,,STARKEY,TX,FLOYD,,,Floyd,1888,1903,TRUE,5,160025,FALSE,15,FALSE,,,,,,,,,,,,,
STARR'S MILL,STARR'S MILLS,STARR'S MILL(S),TX,SMITH,,,Smith,1867,1869,TRUE,8,160039,FALSE,2,FALSE,,,,,,,,,,,,,
STARRVILLE,,STARRVILLE,TX,SMITH,,,Smith,1857,1907,TRUE,5,160041,TRUE,50,TRUE,STARRVILLE,SMITH,TX,1379110,Populated Place,Starrville,Smith,32.46987,-95.11606,120,1,32.46987,-95.11606
STATION BELDEN,,STATION BELDEN,TX,MORRIS,,,Morris,1882,1895,TRUE,6,160060,TRUE,13,TRUE,STATION BELDEN,MORRIS,TX,1342365,Populated Place,Station Belden,Morris,33.20318,-94.68021,124,1,33.20318,-94.68021
STATION CREEK,,STATION CREEK,TX,CORYELL,,,Coryell,1855,1871,TRUE,7,160061,TRUE,16,TRUE,STATION CREEK,CORYELL,TX,1369136,Cemetery,Station Creek Cemetery,Coryell,31.37045,-97.49418,231,1,31.37045,-97.49418
